Check #,Check Name,Check Description,Error Level,Check Type,NCD
1315,Stack Gas Flow Rate and UoM Protected,"If the data in the EIS for stack gas flow rate and UoM are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1349,Address Postal Code for US Data Type,"For postal codes located in the United States, they must be in the approved US Postal Code format of a five-digit number, optionally followed by a dash and a four-digit  number.",Critical,Format,no
1369,Release Point Exit Gas Velocity Measure Range for FPS for Fugitive,"If the release point exit gas velocity unit of measure is FPS and the release point type is fugitive, release point exit gas velocity measure must be 0 to 400, inclusive.",Critical,Range,no
1370,Release Point Exit Gas Velocity Measure Range for FPM for Fugitive,"If the release point exit gas velocity unit of measure is FPM and the release point type is fugitive, release point exit gas velocity measure must be 0 to 24,000; inclusive.",Critical,Range,no
1371,Release Point Exit Gas Flow Rate Measure Range for ACFM for Fugitive,"If the release point exit flow gas unit of measure is ACFM and the release point type is fugitive, release point exit gas flow rate measure must be between 0 to 12,000,000; inclusive.",Critical,Range,no
1372,Release Point Exit Gas Flow Rate Measure Range for ACFS for Fugitive,"If the release point exit flow gas unit of measure is ACFS and the release point type is fugitive, release point exit gas flow rate measure must be between 0 to 200,000; inclusive.",Critical,Range,no
1389,Unique Facility and Alternative Facility Identifier Per Program System Code,Active Alternative Facility Identifiers must be unique within a Program System Codes and a FIPS code.,Critical,Conditional,no
1429,Identifier Present for Release Point Identification,The identifier must be reported when reporting the release point identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1430,Program System Code Present for Release Point Identification,A program system code is required when reporting the release point identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1431,Program System Code Valid for Release Point Identification,Must match value in list of registered codes.,Critical,Code,no
1449,Unit Operating Status at Shutdown Facility,"An emissions unit at a facility site with operating status of ""Temporarily Shutdown"" (TS) or ""Permanently Shutdown"" (PS) may not have a status of ""Operating"" (OP).",Critical,Conditional,no
1450,Release Point Operating Status at Shutdown Facility,"A release point at a facility site with operating status of ""Temporarily Shutdown"" (TS) or ""Permanently Shutdown"" (PS) may not have a status of ""Operating"" (OP).",Critical,Conditional,no
1469,Location Type Code Present,Required when reporting the excluded location parameter component.  The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1470,Location Parameter Present,Required when reporting the excluded location parameter component.  The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1471,Location Parameter Data Type,Must match a parameter in the system.  Maximum allowable width of 20 characters.  Longer submissions will be rejected.,Critical,Format,no
1472,Supplemental Calculation Parameter Type Code Valid,Must match value in published EIS list.,Critical,Code,no
1473,Supplemental Calculation Parameter Type Present,Required when reporting the supplemental calculation parameter  component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1474,Supplemental Calculation Parameter Value Present,Required when reporting supplemental calculation parameter component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1475,Supplemental Calculation Parameter Numerator Unit of Measure Valid,"If the supplemental calculation parameter type code is heat content, the supplemental calculation parameter numerator unit of measure must be ""BTU"" or ""E6BTU"".",Critical,Code,no
1476,Supplemental Calculation Parameter Data Year Data Type,"This element must be reported as an integer, reported with a maximum of 4 digits.",Critical,Format,no
1477,Supplemental Calculation Parameter Data Year Range,Must be between 1900 and 2050.,Critical,Range,no
1478,Supplemental Calculation Parameter Data Source Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
1480,Affiliation Type Code Valid,Must match value in code list.,Critical,Code,no
1481,Affiliation Type Code Present,The affiliation type code is required when reporting the facility site affiliation component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1482,Horizontal Accuracy Unit of Measure Valid,Horizontal accuracy unit of measure must be reported in meters (m).,Critical,Code,no
1483,Vertical Unit of Measure Valid,Vertical unit of measure must be reported in meters (m).,Critical,Code,no
1484,Aircraft Engine Type Code Valid,Must match active value in code list.  The SCC assigned to the code must match the SCC of the process to which it is assigned.,Critical,Code,no
1486,Program System Code for Process Valid,Must match value in list of registered codes.,Critical,Code,no
1487,Program System Code for Process Identification Present,A program system code is required when reporting the process identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1489,Release Point Stack Height  Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1490,Release Point Stack Diameter Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1493,Release Point Fence Line Distance Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1495,Release Point Fugitive Height Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1496,Release Point Fugitive Width Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1497,Release Point Fugitive Length Unit Of Measure Code Valid,Must be in feet.,Critical,Code,no
1498,State and County FIPS for Facility Identification Valid,Must match value in code list.,Critical,Code,no
1500,Tribal Code for Facility Identification Valid,Must match value in code list.,Critical,Code,no
1502,State and Country FIPS for Facility Identification Valid,Must match value in code list.,Critical,Code,no
1509,Containment Date reported in the Event is outside the allowable range.,ContainmentDate critical range to be determined.,Warning,Duplication,no
1510,Inalid Date,Inalid Date,Critical,Range,no
1511,Event Begin Date reported in the Event Reporting Period is outside the allowable range.,Event begin date critical range to be determined.,Warning,Duplication,no
1512,Event End Date reported in the Event Reporting Period is outside the allowable range.,Event end date critical range to be determined.,Warning,Duplication,no
1550,Address Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
1569,Reporting Period Type Code Required,Required when reporting the reporting period component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1570,Calculation Parameter Collection,"All 4 of calculation calculation parameter value, calculation parameter unit of measure, calculation material code and calculation parameter type code must be reported together or none will be accepted",Critical,Conditional,no
1592,Emissions Operating Type Code Required for Point Emissions,Required when reporting the reporting period component for point emissions. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1610,Exceeds Limit,Exceeds Limit,Critical,Format,no
1611,Exceeds Limit,Exceeds Limit,Critical,Format,no
1614,AffiliationOrganization Present,"If the facility site affiliation component is reported, the affiliation organization component must also be reported.",Critical,Present,no
1620,Location Address Country Code Valid,Must match value in code list.,Critical,Code,no
1632,Portable Facility Blocked by Protected Geographic Coordinates,"If the facility site or release point geographic coordinates are protected, a facility site cannot be changed to portable.",Critical,Conditional,no
1649,Decimal Value Required,Decimal Value Required,Critical,Format,no
1669,Emissions Unit Alternate Identifiers Unique,The combination of emissions unit identifier and program system code must be unique within a facility site.,Critical,Conditional,no
1672,Facility Alternative Name Unique,The combination of facility alternative name and program system code must be unique within a facility.,Critical,Conditional,no
1689,Release Point Agency Identifier Unique,The combination of release point agency identifier and program system code must be unique within a facility.,Critical,Conditional,no
1709,Horizontal Accuracy Measure and Unit of Measure Present,Horizontal accuracy measure and horizontal accuracy unit of measure must be reported together.,Critical,Present,no
1710,Vertical Measure and Unit of Measure Present,Vertical measure and vertical measure unit of measure must be reported together.,Critical,Present,no
1711,Invalid Shape ID,Invalid Shape ID,Critical,Code,no
1729,EIS Process Identifier Exists,"If the EIS process identifier is reported, it must exist.",Critical,Conditional,no
1730,Shape Required,Shape Required,Critical,Present,no
1749,Supplemental Calculation Parameter Denominator Unit of Measure Valid,"If the supplemental calculation parameter type code is heat content, the supplemental calculation parameter denominator unit of measure must match value in code list.",Critical,Code,no
1770,Process Identifier Exists Within Unit,"To use the process identifier for identification, the emissions process must exist under the emissions unit for which it was reported.",Critical,Conditional,no
1789,SCC in Correct Data Category,The SCC must match the Data Category provided in the Exchange Header.,Critical,Conditional,no
1809,EIS Process Exists in Correct Unit,The reported EIS emissions process identifier matched in the EIS is associated with the reported emissions unit.,Critical,Conditional,no
1829,SCC is Associated with Correct Process,The reported SCC must be associated with the reported emissions process identifier.,Critical,Conditional,no
1849,Submittal Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
1850,Model Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
1851,Model Version Data Type,Maximum allowable width of 50 characters. Longer submissions will be truncated.,Warning,Format,no
1869,An Event Location must have one of a Geographic Coordinate component or a Geospatial Parameters component associated with it.,An event location may only have either a geographic coordinate component or a geospatial component associated with it.,Warning,Duplication,no
1910,Gasoline ID Range,Must be between 0 and 999999 (inclusive).,Critical,Range,yes
1930,Pollutant Not Repeated Within Process,"When reporting emissions, a pollutant may not reported multiple times under a single reporting period.",Critical,Cardinality,no
1950,Emissions Reported Only for Operating Facilities,"Emissions submitted by state, local, or tribal agencies are not accepted for facility sites that have a facility site status code other than ""Operating"" (OP), except where facility source type is ""Landfill"" or if the Facility Site operating status code year is greater than the current inventory cycle year",Critical,Conditional,no
1969,Cardinality of Active Facility Site Identifier in XML,Only one active facility site identifier per system code per facility site is allowed in an XML submission.,Critical,Cardinality,no
1972,Cardinality of Active Unit Identifier in XML,Only one active unit identifier per program system code per unit is allowed in an XML submission.,Critical,Cardinality,no
1973,Cardinality of Active Release Point Identifier in XML,Only one active release point identifier per program system code per release point is allowed in an XML submission.,Critical,Cardinality,no
1974,Cardinality of Active Process Identifier in XML,Only one active process identifier per program system code per process is allowed in an XML submission.,Critical,Cardinality,no
1975,Emissions Reported Only for Operating Units,"Emissions submitted by state, local, or tribal agencies are not accepted for a unit that has a unit status code other than ""Operating"" (OP), except where facility source type is ""Landfill"" or if the unit operating status code year is greater than the current inventory cycle year.",Critical,Conditional,no
1989,Release Point Identifier Exists for Release Point Apportionment,The release point identifier referenced by the release point apportionment identifier must exist in the facility site.,Critical,Conditional,no
2011,Supplemental Calculation Parameter Unit of Measure for Percent Types Valid,"The supplemental calculation parameter numerator and denominator unit of measure codes must both be null when the supplemental calculation parameter type is either ""Percent Ash Content"" or ""Percent Sulfur Content.""",Critical,Conditional,no
2029,Supplemental Calculation Parameter Numerator Unit of Measure Present for Heat Content,"The supplemental calculation parameter numerator unit of measure must be reported when the supplemental calculation parameter type value is ""Heat Content"". The component and all dependent data will not be store if there are missing values.",Critical,Present,no
2030,Supplemental Calculation Parameter Denominator Unit of Measure Present for Heat Content,"The supplemental calculation parameter Denominator unit of measure must be reported when the supplemental calculation parameter type value is ""Heat Content"". The component and all dependent data will not be store if there are missing values.",Critical,Present,no
2052,Emissions Greater than or Equal to Zero,The total emissions values for emissions must be greater than or equal to 0.,Critical,Range,no
2089,Release Point Identifier Exists for Identification,"To use the release point identifier and program system code for identification, the release point identifier and system code combination must exist within the facility.",Critical,Conditional,no
2091,Process Identifier Exists for Identification,"To use the process identifier and program system code for identification, the process identifier and system code combination must exist within the unit.",Critical,Conditional,no
2093,Data Set Identifier Authorization,The data set identifier provided must belong to the EIS or EPA agency.,Critical,Conditional,no
2095,Data Set Identifier Exists,The data set identifier provided must already exist in the EIS.,Critical,Conditional,no
2109,Baseyearvmt NCD Table Present,Baseyearvmt must be submitted as a .csv file in the Tables folder.,Warning,Present,yes
2110,County NCD Table Present,County must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2111,Countynrfile NCD Table Present,Countynrfile must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2112,Countyvmtmonthallocation NCD Table Present,Countyvmtmonthallocation must be submitted as a .csv file in the Tables folder.,Warning,Present,yes
2113,Countyyear NCD Table Present,Countyyear must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2114,Countyyearmonth NCD Table Present,Countyyearmonth must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2115,Countyyearmonthhour NCD Table Present,Countyyearmonthhour must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2116,Diesel NCD Table Present,Diesel must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2118,Gasoline NCD Table Present,Gasoline must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2119,Naturalgas NCD Table Present,Naturalgas must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2120,State NCD Table Present,State must be submitted as a .csv file in the Tables folder.,Critical,Present,yes
2121,Baseyearvmt NCD Table Header Present,Baseyearvmt must have a data header in the first row of the .csv.,Critical,Format,yes
2122,County NCD Table Header Present,County  must have a data header in the first row of the .csv.,Critical,Format,yes
2123,Countynrfile NCD Table Header Present,Countynrfile must have a data header in the first row of the .csv.,Critical,Format,yes
2124,Countyvmtmonthallocation NCD Table Header Present,Countyvmtmonthallocation must have a data header in the first row of the .csv.,Warning,Format,yes
2125,Countyyear NCD Table Header Present,Countyyear must have a data header in the first row of the .csv.,Critical,Format,yes
2126,Countyyearmonth NCD Table Header Present,Countyyearmonth must have a data header in the first row of the .csv.,Critical,Format,yes
2127,Countyyearmonthhour NCD Table Header Present,Countyyearmonthhour must have a data header in the first row of the .csv.,Critical,Format,yes
2128,Diesel NCD Table Header Present,Diesel must have a data header in the first row of the .csv.,Critical,Format,yes
2129,Gasoline NCD Table Header Present,Gasoline must have a data header in the first row of the .csv.,Critical,Format,yes
2130,Naturalgas NCD Table Header Present,Naturalgas must have a data header in the first row of the .csv.,Critical,Format,yes
2131,State NCD Table Header Present,State must have a data header in the first row of the .csv.,Critical,Format,yes
2132,State and County FIPS For NCD Submission,"When a federal or system agency user submits a NCD file, a location component with valid State and County FIPS must be provided.",Critical,Present,yes
2149,Release Point Apportionment Identifier Cardinality,A release point identifier may only be used once per release point apportionment collection.,Critical,Cardinality,no
2169,Emissions Not Accepted For Duplicate Facility Sites,Emissions are not accepted for facility sites that are flagged as duplicate.,Critical,Conditional,no
2189,Reporting Period For Area Emissions Process Present,"For every area emissions process, there must be one or more reporting periods underneath it either already in EIS or submitted.",Critical,Present,no
2229,Potential Duplicate Facility Site,Potential duplicate facilities are flagged for review.,Warning,Comparison,no
2249,Facility Site Operating Status Year With Emissions,"The operating status for statuses other than ""OP"" must be greater than the latest year of emissions submitted to that facility site, except for landfills.",Critical,Conditional,no
2251,Unit Operating Status Year With Emissions,"The operating status year for statuses other than """"OP"""" must be greater than the latest year of emissions submitted to that unit, except for landfills.",Critical,Conditional,no
2290,Emissions with Reporting Period,At least one valid emissions record must be provided with a reporting period.,Critical,Conditional,no
2309,Invalid Calculation material code,Invalid Calculation material code,Critical,Code,no
2313,Total Acceptable Emissions Range,Must be within acceptable emissions range.,Warning,Range,no
2314,Supplemental Calculation Parameter Critical Range,Must be within acceptable supplemental calculation parameter range.,Critical,Range,no
2315,Shape Identifier does not match reported State and County FIPS.,Please review shape identifier code tables for correct values.,Critical,Conditional,no
2316,Aircraft Engine Type Code Present,Required when reporting the process component for aircraft. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
2317,Commercial Marine Vehicle Engine Type Code Present,Required when reporting the process component for commercial marine vehicles. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
2319,Inventory Year of Reporting Period must not be greater than Emissions Process Last Inventory Year,Please review the Reporting Periods associated with the Emissions Process to ensure the Inventory Year of the Reporting Period is not greater than the Emissions Process Last Inventory Year.,Critical,Comparison,no
2320,Emissions of Reporting Period Conflict,"Process Emissions Data for a defined Group of Pollutants can contain either the pollutant representing the group total value, or any number pollutants representing the group member values, but not both.",Critical,Comparison,no
2321,State MySql Database Zip CDB Table Present,State MySql Databases must be submitted as a .zip file in the CDB submission zip.,Critical,Present,yes
2322,Shape Type Not Matching Allowed SCC,When submitting CMV/Rail Emissions the Shape Type and SCC must match accepted value combinations. The component and all dependent data will not be stored if there is a mismatch.,Critical,Present,no
2323,Percent Control Measures Reduction Efficiency must not equal 100,"If the control measure code reported for a Facility Inventory or NonPoint Control Measure is not ""46"" (Process Change), then the Percent Control Measures Reduction Efficiency must not equal 100.",Critical,Present,no
2324,Active Point Processes in same county for special SCC.,Supplied NP data with SCC 2285002010 has active point processes in the same county as SCC 28500201.,Warning,Present,no
2325,Airport Uniqueness SCC - AETC conflict.,SCC and Aircraft Engine Type Code combination for supplied Airport Facility is not unique.,Critical,Present,no
2326,Not an acceptable Pollutant and Emissions Type combination.,Pollutants and Emission Type Codes are checked against a predefined combination list and this validation failed for combination,Critical,Present,no
2327,CDB QA_Report Present,QA_Report must be submitted as a .txt file in the MyStateSubmission.zip.,Critical,Present,no
2328,CDB Checklist Present,Checklist must be submitted as a .xls or xlsx file in the MyStateSubmission.zip.,Critical,Present,no
2329,CDB Documentation Present,Documentation must be submitted as a .doc or .docx file in the MyStateSubmission.zip.,Critical,Present,no
2330,CDB County Databases Present,County Databases must be submitted as a .zip file in the MyStateSubmission.zip.,Critical,Present,no
2331,CDB error Present in QA_Report,Errors were found in the submitted QA_Report.,Critical,Present,no
2332,CDB County Databases mismatch,The number of submitted CDBs did not match the reported number in the QA_Report.,Critical,Comparison,no
2333,Emissions Submitted to County FIPS,Submitting CMV or Rail Emissions to a County FIPS resulted in a warning.,Warning,Comparison,no
2334,County DB Folder Name Must be 20 Characters Long,County DB Folder Name Must be 20 Characters Long,Critical,Format,no
2335,County File Names must start with the letter c.,County File Names must start with the letter c.,Critical,Format,no
2336,characters 7-11 must be a y followed by a four digit year,characters 7-11 must be a y followed by a four digit year,Critical,Format,no
2337,County Database Folder Names last 9 characters must be a _ followed by an eight digit date,County Database Folder Names last 9 characters must be a _ followed by an eight digit date,Critical,Format,no
2338,Presence of Release Point Exit Gas Flow Rate and Velocity,"If a Stack Diameter information is reported, the Release Point Exit Gas Flow Rate and Velocity should be reported as well.",Warning,Present,no
2339,Presence of Release Point Stack Diameter information,"If Exit Gas Flow Rate and Velocity information is reported, a Release Point Stack Diameter should be reported as well.",Warning,Present,no
2340,Facility Inventory Window,The Facility Inventory Submission Window is closed.,Critical,Conditional,no
2341,Emissions Unit Permit Status Begin Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
2342,Emissions Unit Permit Status End Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
2343,Unit Permit Status Begin Year Data Type,This element must be reported as an integer.,Critical,Format,no
2344,Unit Permit Status End Year Data Type,This element must be reported as an integer.,Critical,Format,no
2345,Unit Permit Status Code and End Year,"If Unit Permit Status Code is not ""operating"" (O) an end year must be provided.",Critical,Conditional,no
2346,Facility Site County Protected,"If the data in the EIS for facility site county is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2347,Facility Site Mailing Address Protected,"If the data in the EIS for facility site mailing address is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2348,Facility Site Locality Protected,"If the data in the EIS for facility site locality is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2349,Facility Site Postal Code Protected,"If the data in the EIS for facility site postal code is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2350,Facility Site Name Protected,"If the data in the EIS for facility site name is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2351,Facility Site Tribe Protected,"If the data in the EIS for facility site tribal code is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2352,Release Point Protected,"If the data in the EIS for release point is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2353,Emissions Unit Protected,"If the data in the EIS for emissions unit is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2354,Emissions Process Protected,"If the data in the EIS for emissions process is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
2355,Data Set Identifier Exists,The data set identifier provided must belong to the SPPD agency.,Critical,Conditional,no
2356,Last Inventory Year Dependency for Emissions Process,"Last Inventory Year of Emissions process may not be changed if the emissions unit operating status is ""Temporarily Shutdown"" (TS) or ""Permanently Shutdown"" (PS).",Critical,Conditional,no
2357,PM10 Primary and Filterable Emissions Comparison,PM10 Filterable can not exceed PM10 Primary,Critical,Conditional,no
2358,PM2.5 Primary and Filterable Emissions Comparison,PM2.5 Filterable can not exceed PM2.5 Primary,Critical,Conditional,no
2359,PM10 Primary and PM Condensable Emissions Comparison,PM Condensable can not exceed PM10 Primary,Critical,Conditional,no
2360,PM2.5 Primary and PM Condensable Emissions Comparison,"If PM Condensable and PM2.5 Primary are both reported pollutants, then PM Condensable should not exceed PM2.5 Primary for the same reporting period.",Critical,Conditional,no
2361,PM10-PRI must be sum of its pieces,PM10-FIL + PM-CON must equal PM10-PRI,Warning,Conditional,no
2362,PM25-PRI must be sum of its pieces,PM25-FIL + PM-CON must equal PM25-PRI,Warning,Conditional,no
2363,Emission Calculation Method Code - Event Validation,Must match value in code list.,Critical,Code,no
2364,Nonpoint Agricultural Fire/Burning (Tier 3) Activity Data Validation,Must specify valid activity data values.,Critical,Conditional,no
2365, Operating Status Dependency for Facility - Another Agency Emission Units for this facility are still in Operation,"The Facility Operating Status may not be changed to ""Temporarily Shutdown"" (TS), ""Permanently Shutdown"" (PS), or ""Operating but Reporting Emissions in the Nonpoint Category"" (ONP) because another Agency has units that are operating.",Critical,Conditional,no
2366, Operating Status Dependency for Facility - Another Agency Emission Processes for this facility are still in Operation,"The Facility Operating Status may not be changed to ""Temporarily Shutdown"" (TS), ""Permanently Shutdown"" (PS), or ""Operating but Reporting Emissions in the Nonpoint Category"" (ONP) because another Agency has processes that are operating.",Critical,Conditional,no
2367, Operating Status Dependency for Facility - Another Agency Release Points for this facility are still in Operation,"The Facility Operating Status may not be changed to ""Temporarily Shutdown"" (TS), ""Permanently Shutdown"" (PS), or ""Operating but Reporting Emissions in the Nonpoint Category"" (ONP) because another Agency has release points that are operating.",Critical,Conditional,no
2368,Unit Level Agency ID Association Dependency,"You may not edit existing Units that do not have an identifier for your Agency. In order for you to edit this Unit, you must first have a Unit ID associated with your Agency.",Critical,Conditional,no
2369,Process Level Agency ID Association Dependency,"You may not edit existing Processes that do not have an identifier for your Agency.  In order for you to edit this Process, you must first have a Process ID associated with your Agency.",Critical,Conditional,no
2370,Release Point Level Agency ID Association Dependency,"You may not edit existing Release Points that do not have an identifier for your Agency. In order for you to edit this Release Point, you must first have a Release Point ID associated with your Agency.",Critical,Conditional,no
2371,Agency Unit Identifier Not Found, You may not add a Process Identifier for this Agency because no Unit Identifier for this Agency was found at the associated Unit.,Critical,Conditional,no
2372,Agency Facility Identifier Not Found, You may not add a Release Point Identifier for this Agency because no Facility Identifier for this Agency was found at the associated Facility.,Critical,Conditional,no
2373,Agency Facility Identifier Not Found when adding Unit Identifier,You may not add a Unit Identifier for this Agency because no Facility Identifier for this Agency was found at the associated Facility.,Critical,Conditional,no
2374,New Unit Alternate Identifier- Agency Dependency Dependency,"You may not add a Unit Alternate Identifier for your Agency, because no Unit Identifier is currently reported at this Unit for your Agency. In order for you to add an Alternate Identifier for this Unit, you must first have an existing Unit ID associated with your Agency.",Critical,Conditional,no
2375,Facility Level Agency ID Association Dependency,"You may not edit existing Facilities that do not have an identifier for your Agency. In order for you to edit this Facility, you must first have a Facility ID associated with your Agency.",Critical,Conditional,no
2376,Event Staging Code Validation,Must be valid event staging code reporting period combination.,Critical,Code,no
2377,Nonroad_CDB Documentation Present,Documentation must be submitted as a .doc or .docx file in the MyStateSubmission.zip.,Critical,Present,no
2378,Nonroad CDB Checklist Present,Checklist must be submitted as a .xls or xlsx file in the MyStateSubmission.zip.,Critical,Present,no
2379,Nonroad_CDB QA_Report Present,NR_QA_Report must be submitted as a .txt file in the MyStateSubmission.zip.,Critical,Present,no
2380,Nonroad CDB County Databases Present,NR County Databases must be submitted as a .zip file in the MyStateSubmission.zip.,Critical,Present,no
2381,CDB error Present in NR_QA_Report,Errors were found in the submitted NR_QA_Report.,Critical,Present,no
2382,Nonroad CDB County Database Name length issue,County Database Folder Names must be 23 characters long. Please submit these County Submissions in a Folder with a correct Folder name length (23).,Critical,Comparison,no
2383,Nonroad CDB County Database Name FIPS Part issue,"County Database Folder Names must start with a ""c"" followed by a FIPS (e.g. c26161). Please submit these County Submissions in a Folder with a correct Folder name.",Critical,Comparison,no
2384,Nonroad CDB County Database Name Calendar Year Part issue,"County Database Folder Names characters 7-11 must be a ""y"" followed by a four digit year (e.g. y2011). Please submit these County Submissions in a Folder with a correct Folder name.",Critical,Comparison,no
2385,Nonroad CDB County Databases mismatch,Submit the correct number of CDBs in the PSC_NR_County_Databases.zip file or correct the NR_QA_Report total reported CDBs.,Critical,Comparison,no
2386,Nonroad CDB County Database Name Date Part issue,County Database Folder Names last 12 characters must be a _NR _ followed by an eight digit date YYYYMMDD (e.g._NR _20120601). Please submit these County Submissions in a Folder with a correct Folder name.,Critical,Comparison,no
2387,NCD Checklist Present,Checklist must be submitted as a .xls or xlsx file as part of an NCD submission in the MyStateSubmission.zip file.,Critical,Present,no
2388,Stack Gas Temperature Protected,"If the data in the EIS for stack gas temperature is protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
